message;severity;node;stamp;topics;location
"0.198";"2";"/snake_control";"1546088263.044889348";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.184";"2";"/snake_control";"1546088263.025554004";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.171";"2";"/snake_control";"1546088263.003645805";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.160";"2";"/snake_control";"1546088262.983651218";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.149";"2";"/snake_control";"1546088262.963676955";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.140";"2";"/snake_control";"1546088262.943612260";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.131";"2";"/snake_control";"1546088262.923568135";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.123";"2";"/snake_control";"1546088262.903655209";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.115";"2";"/snake_control";"1546088262.883806486";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.109";"2";"/snake_control";"1546088262.863931048";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.102";"2";"/snake_control";"1546088262.843906241";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.096";"2";"/snake_control";"1546088262.823938710";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.091";"2";"/snake_control";"1546088262.804958648";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.086";"2";"/snake_control";"1546088262.784094123";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.081";"2";"/snake_control";"1546088262.764102628";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.077";"2";"/snake_control";"1546088262.745166717";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.073";"2";"/snake_control";"1546088262.724261956";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.069";"2";"/snake_control";"1546088262.703924676";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.065";"2";"/snake_control";"1546088262.686219064";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.062";"2";"/snake_control";"1546088262.665423237";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
"0.059";"2";"/snake_control";"1546088262.645499685";"/joint_command,/joint_command4V2,/joint_target_position,/rosout";"/home/ubuntu/Dropbox/catkin_ws_dense_pipes/src/snake_control/src/winding_gait.cpp:CalculateCurvature:236"
